FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,referencia,direccion,lat,lon
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e38,11849,POINT (377719.83333437954 4065298.011119137),MLG0348,Amador de los Rios vs Manuel Palacio,,,,,-1,0,-1,,,MLG0348,Amador de los Rios vs Manuel Palacio,36.725520,-4.369360
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e37,11850,POINT (377719.12406754645 4064998.4296157407),MLG0349,Amador de los Rios,,,,,-1,0,-1,,,MLG0349,Amador de los Rios,36.722820,-4.369320
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e36,11851,POINT (378157.4532867318 4065344.694554441),MLG0350,de San Antón,,,,,-1,0,-1,,,MLG0350,de San Antón,36.725997,-4.364468
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e35,11852,POINT (375592.88912271586 4065222.156509868),MLG0351,Miguel Indurain,,,,,-1,0,-1,,,MLG0351,Miguel Indurain,36.724560,-4.393160
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e34,11853,POINT (375257.68376761506 4065382.9383090455),MLG0352,de Miramar,,,,,-1,0,-1,,,MLG0352,de Miramar,36.725965,-4.396939
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e33,11854,POINT (375288.4819670947 4065724.8045760537),MLG0353,Del Miramar,,,,,-1,0,-1,,,MLG0353,Del Miramar,36.729050,-4.396650
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e32,11855,POINT (375114.86292486533 4065456.592221771),MLG0354,Del Limonar,,,,,-1,0,-1,,,MLG0354,Del Limonar,36.726610,-4.398550
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e31,11856,POINT (375102.17210423644 4065235.853622758),MLG0355,Limonar,,,,,-1,0,-1,,,MLG0355,Limonar,36.724619,-4.398656
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e30,11857,POINT (377844.83734307287 4065670.1599049927),MLG0356,Hernan Nuñez de Toledo vs Hernan ,,,,,-1,0,-1,,,MLG0356,Hernan Nuñez de Toledo vs Hernan,36.728890,-4.368020
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e2f,11858,POINT (377991.294288108 4065167.6409447193),MLG0357,Conde de las Navas,,,,,-1,0,-1,,,MLG0357,Conde de las Navas,36.724380,-4.366300
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e2e,11859,POINT (377985.85020418203 4065023.914792871),MLG0358,Conde de las Navas,,,,,-1,0,-1,,,MLG0358,Conde de las Navas,36.723084,-4.366338
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e2d,11860,POINT (377832.74597114255 4065198.7531964863),MLG0359,Gabriel y Galán vs Octavio Picón,,,,,-1,0,-1,,,MLG0359,Gabriel y Galán vs Octavio Picón,36.724640,-4.368080
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e2c,11861,POINT (377546.12404008594 4065580.1151786707),MLG0360,Castañer Gallardo,,,,,-1,0,-1,,,MLG0360,Castañer Gallardo,36.728040,-4.371350
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e2b,11862,POINT (371625.9245450149 4065869.9811948137),MLG0361,Juan Garcia Leon S/N,,,,,-1,0,-1,,,MLG0361,Juan Garcia Leon S/N,36.729870,-4.437680
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e2a,11863,POINT (377195.56370039994 4065674.242063179),MLG0362,Laurel,,,,,-1,0,-1,,,MLG0362,Laurel,36.728843,-4.375290
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e29,11864,POINT (370802.9342219787 4064260.308491723),MLG1071,de Andalucía,,,,,-1,0,-1,,,MLG1071,de Andalucía,36.715252,-4.446622
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e28,11865,POINT (359936.22570183466 4066246.294165032),MLG1074,del Salvador,,,,,-1,0,-1,,,MLG1074,del Salvador,36.731608,-4.568621
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e27,11866,POINT (371859.12862720736 4063955.1476552533),MLG1075,Eguiluz,,,,,-1,0,-1,,,MLG1075,Eguiluz,36.712645,-4.434748
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e26,11867,POINT (374409.92438828986 4065558.5674535553),MLG1145,Ferrándiz,,,,,-1,0,-1,,,MLG1145,Ferrándiz,36.727436,-4.406459
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e25,11868,POINT (371726.92225703143 4066297.3386735884),MLG1146,Juan García Hortelano,,,,,-1,0,-1,,,MLG1146,Juan García Hortelano,36.733735,-4.436621
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e24,11869,POINT (371637.5947073051 4064224.778470859),MLG1147,Babel,,,,,-1,0,-1,,,MLG1147,Babel,36.715045,-4.437273
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e23,11870,POINT (377050.0169508534 4065801.274302862),MLG1186,Juan Gracìa Leòn,,,,,-1,0,-1,,,MLG1186,Juan Gracìa Leòn,36.729969,-4.376940
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e22,11871,POINT (378361.1344285123 4065227.618460997),MLG1188,Princesa Irene,,,,,-1,0,-1,,,MLG1188,Princesa Irene,36.724968,-4.362169
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e21,11872,POINT (370343.6749309514 4062373.6628581323),MLG1182,Alcalde Joaquín Alonso,,,,,-1,0,-1,,,MLG1182,Alcalde Joaquín Alonso,36.698187,-4.451443
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e20,11873,POINT (370458.9416534724 4061948.260749251),MLG1185,Mozart,,,,,-1,0,-1,,,MLG1185,Mozart,36.694369,-4.450081
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e1f,11874,POINT (372749.73293052654 4064759.984608278),MLG1158,Enrique García-Herrera,,,,,-1,0,-1,,,MLG1158,Enrique García-Herrera,36.720018,-4.424913
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e1e,11875,POINT (370293.28707383934 4061312.1748646754),MLG1177,del Pato,,,,,-1,0,-1,,,MLG1177,del Pato,36.688614,-4.451827
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e1d,11876,POINT (370582.2284986544 4061207.050043953),MLG1164,Canillas de Aceituno ,,,,,-1,0,-1,,,MLG1164,Canillas de Aceituno,36.687706,-4.448576
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e1c,11877,POINT (369807.16551616887 4062219.57469694),MLG1170,Antonio Gaudi,,,,,-1,0,-1,,,MLG1170,Antonio Gaudi,36.696725,-4.457421
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e1b,11878,POINT (371182.4987137541 4062739.1640383904),MLG1171,Federico García Lorca,,,,,-1,0,-1,,,MLG1171,Federico García Lorca,36.701595,-4.442117
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e1a,11879,POINT (370873.3407415986 4062573.048990955),MLG1172,de Velázquez,,,,,-1,0,-1,,,MLG1172,de Velázquez,36.700056,-4.445549
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e19,11880,POINT (371413.24873352575 4064704.6221172186),MLG1173,Simeón Giménez Reyna,,,,,-1,0,-1,,,MLG1173,Simeón Giménez Reyna,36.719339,-4.439865
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e18,11881,POINT (369440.8133460897 4065394.7298426903),MLG1121,del Capitán,,,,,-1,0,-1,,,MLG1121,del Capitán,36.725289,-4.462063
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e17,11882,POINT (369416.9775562647 4060686.117144804),MLG1122,Miguel de Merida Nicolich (Palacio de ,,,,,-1,0,-1,,,MLG1122,Miguel de Merida Nicolich (Palacio de,36.682852,-4.461526
