FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,INFOESP,lon,lat
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c61,2201,Contenedor aceite Cl Ingeniero de la Torre Acosta,,"CALLE INGENIERO DE LA TORRE ACOSTA, 7 ",POINT (-4.439472050965144 36.72060714905253),,,,,,OTRAS,No,No,,-4.439472050965144,36.72060714905253
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c60,2002,Contenedor aceite Pl Jose Bergamin,,"PLAZA JOSÉ BERGAMÍN, 12 ",POINT (-4.454218717465257 36.719713856132664),,,,,,OTRAS,No,No,,-4.454218717465257,36.719713856132664
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c5f,1998,Contenedor aceite Cl Corregidor Francisco De Molina,,"CALLE CORREGIDOR FRANCISCO DE MOLINA, 10 ",POINT (-4.450471200532832 36.71320156687471),,,,,,OTRAS,No,No,,-4.450471200532832,36.71320156687471
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c5e,1972,Contenedor aceite Pje Begoña,,"PASAJE BEGOÑA, 3 ",POINT (-4.4377690651442965 36.72303709405519),,,,,,OTRAS,No,No,,-4.4377690651442965,36.72303709405519
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c5d,1986,Contenedor aceite Cl Andrés Bernáldez,,"CALLE ANDRÉS BERNÁLDEZ, 18 ",POINT (-4.465910993149048 36.72219526128915),,,,,,OTRAS,No,No,,-4.465910993149048,36.72219526128915
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c5c,1974,Contenedor aceite Cl Ebro,,"CALLE EBRO, 14 ",POINT (-4.43162308457516 36.7407656822029),,,,,,OTRAS,No,No,,-4.43162308457516,36.7407656822029
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c5b,1960,Contenedor aceite Cl Olmos,,"CALLE OLMOS, 43 ",POINT (-4.3804588759450525 36.73753921767626),,,,,,OTRAS,No,No,,-4.3804588759450525,36.73753921767626
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c5a,1968,Contenedor aceite Cl Borde Alegre,,"CALLE BORDE ALEGRE, 5 ",POINT (-4.421277459364526 36.750359660356466),,,,,,OTRAS,No,No,,-4.421277459364526,36.750359660356466
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c59,1990,Contenedor aceite Cl Maestro Pablo Luna,,"CALLE MAESTRO PABLO LUNA, 1 ",POINT (-4.443801345627197 36.725050289972174),,,,,,OTRAS,No,No,,-4.443801345627197,36.725050289972174
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c58,2004,Contenedor aceite Pl Guerrero Strachan,,"PLAZA DE GUERRERO STRACHAN, 7 ",POINT (-4.43740217522868 36.71973437479898),,,,,,OTRAS,No,No,,-4.43740217522868,36.71973437479898
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c57,2020,Contenedor aceite Almd de Colón,,"ALAMEDA DE COLÓN, 13 ",POINT (-4.424401561940569 36.714868099998846),,,,,,OTRAS,No,No,,-4.424401561940569,36.714868099998846
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c56,1996,Contenedor aceite Pl Cruz De Humilladero,,"PLAZA CRUZ DE HUMILLADERO, 3 ",POINT (-4.440927969661042 36.711650404350685),,,,,,OTRAS,No,No,,-4.440927969661042,36.711650404350685
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c55,2029,Contenedor aceite Cl Cortijo De Echarte,,"CALLE CORTIJO DE ECHARTE, 4 ",POINT (-4.449216477194024 36.702046663190444),,,,,,OTRAS,No,No,,-4.449216477194024,36.702046663190444
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c54,1975,Contenedor aceite Av Carlos De Haya,,"AVENIDA CARLOS DE HAYA, 133 ",POINT (-4.454718590270194 36.72368674028248),,,,,,OTRAS,No,No,,-4.454718590270194,36.72368674028248
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c53,2042,Contenedor aceite Cl Cirilo Salinas,,"CALLE CIRILO SALINAS, 26 ",POINT (-4.462952869333362 36.7317134882106),,,,,,OTRAS,No,No,,-4.462952869333362,36.7317134882106
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c52,2040,Contenedor aceite Cl Escritora Ana Maria Matute,,"CALLE ESCRITORA ANA MARÍA MATUTE, 5 ",POINT (-4.481025625287878 36.73753019400147),,,,,,OTRAS,No,No,,-4.481025625287878,36.73753019400147
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c51,1987,Contenedor aceite Av Arroyo de los Angeles,,"AVENIDA DEL ARROYO DE LOS ÁNGELES, 75 ",POINT (-4.435494936702372 36.73039533762552),,,,,,OTRAS,No,No,,-4.435494936702372,36.73039533762552
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c50,2045,Contenedor aceite Cl Esquilo,,"CALLE ESQUILO, 4 ",POINT (-4.4847319718045435 36.72213816881137),,,,,,OTRAS,No,No,,-4.4847319718045435,36.72213816881137
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c4f,1952,Contenedor aceite Cl Merced,,"CALLE LA MERCED, 1 ",POINT (-4.417641909048999 36.72425803657833),,,,,,OTRAS,No,No,,-4.417641909048999,36.72425803657833
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c4e,1989,Contenedor aceite Cl Alcalde Jose Luis Estrada,,"CALLE ALCALDE JOSÉ LUIS ESTRADA, 13 ",POINT (-4.448145127406656 36.73062120159216),,,,,,OTRAS,No,No,,-4.448145127406656,36.73062120159216
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c4d,1964,Contenedor aceite Cl Villafuerte,,"CALLE VILLAFUERTE, 44 ",POINT (-4.359041276095733 36.72426803236862),,,,,,OTRAS,No,No,,-4.359041276095733,36.72426803236862
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c4c,1965,Contenedor aceite Cl Sancho Miranda,,"CALLE SANCHO MIRANDA, 7 ",POINT (-4.420508076588983 36.74763544229061),,,,,,OTRAS,No,No,,-4.420508076588983,36.74763544229061
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c4b,2038,Contenedor aceite Cl Samaniego,,"CALLE SAMANIEGO, 80 ",POINT (-4.5336832032741725 36.726192041760356),,,,,,OTRAS,No,No,,-4.5336832032741725,36.726192041760356
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c4a,2035,Contenedor aceite Cl Sedella,,"CALLE SEDELLA, 28 ",POINT (-4.502751365744981 36.66339149641164),,,,,,OTRAS,No,No,,-4.502751365744981,36.66339149641164
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c49,2017,Contenedor aceite Cl Pacifico,,"CALLE PACÍFICO, 46 ",POINT (-4.442313901454881 36.69145151821135),,,,,,OTRAS,No,No,,-4.442313901454881,36.69145151821135
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c48,2018,Contenedor aceite Cmno del Pato,,"CAMINO DEL PATO, 21 ",POINT (-4.451551524675824 36.6886670646689),,,,,,OTRAS,No,No,,-4.451551524675824,36.6886670646689
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c47,2044,Contenedor aceite Cl Navarro Ledesma,,"CALLE NAVARRO LEDESMA, 160 ",POINT (-4.477643689375455 36.72474723962065),,,,,,OTRAS,No,No,,-4.477643689375455,36.72474723962065
